# z dn_dz
1.150000000000000133e+00 3.449624442344040864e-01
1.175000000000000044e+00 3.622309025174574315e-01
1.200000000000000178e+00 3.142966432848722791e-01
1.225000000000000089e+00 2.836798015877097789e-01
1.250000000000000000e+00 2.781968596550443706e-01
1.275000000000000133e+00 3.261846858638362545e-01
1.300000000000000044e+00 1.645841684509326552e-01
1.325000000000000178e+00 1.818590301715473090e-01
1.350000000000000089e+00 1.460405368020873118e-01
1.375000000000000000e+00 1.673233751030029914e-01
1.400000000000000133e+00 1.280086870089167939e-01
1.425000000000000044e+00 4.916082074816479491e-02
1.450000000000000178e+00 1.252271250421473636e-01
1.475000000000000089e+00 5.927563054384888536e-02
1.500000000000000000e+00 4.369360221114631376e-02
1.525000000000000133e+00 4.118711065863438214e-02
1.550000000000000044e+00 4.979126694265981201e-02
1.575000000000000178e+00 0.000000000000000000e+00
1.600000000000000089e+00 3.415524268088967336e-02
1.625000000000000000e+00 2.028677249231132518e-02
1.650000000000000133e+00 2.228233424759921630e-02
1.675000000000000044e+00 2.171585008876402573e-02
1.700000000000000178e+00 2.654051936525473818e-02
1.725000000000000089e+00 7.116889542515074038e-03
1.750000000000000000e+00 4.144277558790620403e-02
1.775000000000000133e+00 2.010814745430499623e-02
1.800000000000000044e+00 2.009115423238838627e-02
1.825000000000000178e+00 1.342246598446389036e-02
1.850000000000000089e+00 4.577142634137346990e-03
1.875000000000000000e+00 0.000000000000000000e+00
1.900000000000000133e+00 1.461082679185431166e-02
1.925000000000000044e+00 1.665644665903408261e-02
1.950000000000000178e+00 3.090543569170191643e-02
1.975000000000000089e+00 3.091299717034509328e-02
2.000000000000000000e+00 4.249352303759233729e-02
2.024999999999999911e+00 5.701914178278411766e-02
2.050000000000000266e+00 4.565933810558167778e-03
2.075000000000000178e+00 7.675874546998127414e-03
2.100000000000000089e+00 1.164527785927604343e-02
2.125000000000000000e+00 5.598677483559074547e-02
2.149999999999999911e+00 1.919247565425650712e-02
2.175000000000000266e+00 4.938622711952943799e-03
2.200000000000000178e+00 5.091652109924168189e-03
2.225000000000000089e+00 4.502182605117931863e-02
2.250000000000000000e+00 1.106194169143500522e-02
2.274999999999999911e+00 6.776529601784483936e-02
2.300000000000000266e+00 2.659868595654590016e-03
2.325000000000000178e+00 2.001366067446282843e-02
2.350000000000000089e+00 3.917815738010777676e-02
2.375000000000000000e+00 0.000000000000000000e+00
2.400000000000000355e+00 2.102715607075668000e-02
2.425000000000000266e+00 1.381064994616198333e-02
2.450000000000000178e+00 7.271456079306277184e-04
2.475000000000000089e+00 0.000000000000000000e+00
2.500000000000000000e+00 8.897083862643376945e-03
2.525000000000000355e+00 0.000000000000000000e+00
2.550000000000000266e+00 6.201302432500313024e-03
2.575000000000000178e+00 1.607610277537398213e-02
